exec       doc_no                uuid      authored    lagA now  retensed    lagR exec?
2025-06-26 A.2.8.2.2.2.7.2.1     e3ec99ec  2025-06-27     1 FUT  -              - Y
2025-06-26 A.4.1.2.2.4.2.1       1b8248bf  2025-06-12   -14 PAST 2026-01-19   207 Y
2025-09-18 A.2.4.1.2.2.1.2       ff3aa296  2026-09-10   357 PAST 2026-09-10   357 Y
2025-09-18 A.4.1.2.1.1.1.1       ec820ddb  2025-05-28  -113 MIX  -              - Y
2025-10-02 A.2.8.2.2.2.4.5.1.1   12425328  2025-10-02     0 FUT  -              - n
2025-10-30 A.3.5.2.2.2           0803e6b5  2025-10-31     1 FUT  -              - Y
2025-11-13 A.2.8.2.4.2.1.2.1     c39702fb  2025-11-30    17 FUT  -              - Y
2025-11-13 A.4.2.2.2.2           593095a6  2026-04-23   161 PAST 2026-04-23   161 Y
2025-11-17 A.4.2.2.2.2           593095a6  2026-04-23   157 PAST 2026-04-23   157 n
2026-01-29 A.2.8.2.7.2.2.2.1     36556509  2026-01-22    -7 FUT  -              - Y
2026-01-29 A.2.8.2.7.2.2.2.2     be600bf6  2026-01-29     0 FUT  -              - Y
2026-03-26 A.2.8.2.3.2.3         7df88d38  2026-03-20    -6 FUT  -              - Y
2026-03-26 A.2.8.2.6.2.2.2.2     65638659  2026-05-21    56 FUT  -              - Y
2026-03-26 A.2.8.2.8.2.1         ff5c1b0c  2026-03-20    -6 FUT  -              - Y
2026-03-26 A.2.8.2.9.2.1         ee64a5b7  2026-03-20    -6 FUT  -              - Y
2026-04-09 A.4.2.2.3.2           1c0d2cf1  2026-04-09     0 FUT  -              - Y
2026-06-18 A.1.10.2.5.1.2.1.1    badd8b62  2026-05-29   -20 FUT  -              - Y
2026-07-16 A.1.10.2.5.1.2.1.1    badd8b62  2026-07-10    -6 FUT  -              - Y
2026-08-27 A.2.2.10.1.1.1.2.4.5  d5240aa5  2026-08-27     0 PAST 2026-08-27     0 Y

past-dated mentions 19: past-tense now 5, still future-tense 13
authored-before-vote: 8 same-week: 6 after: 5
